mga,department,sara_index,se.sara_index,child_readiness,se.child_readiness,factype,fifteen.assess,se.fifteen.assess,year,recode,country
ALL,ALL,0.6691005230565242,0.004350737441444304,0.7670107326638806,0.006615251105312373,ALL,0.38465206074364344,0.008959568876741894,2013,6,Senegal
private,ALL,0.5672099191935848,0.014829681162395223,0.6434534057651978,0.026799071521401346,ALL,0.3672307514646516,0.008959568876741894,2013,6,Senegal
public,ALL,0.6913369453626371,0.004186993416435357,0.7888564566671189,0.006023860917342789,ALL,0.388245052115659,0.003612810778976308,2013,6,Senegal
ALL,ALL,0.6664715993594534,0.004715645218861466,0.7738922929334784,0.007203917848227159,clinic,0.38484310111711906,0.003937818197719132,2013,6,Senegal
ALL,ALL,0.7121444827547847,0.013755397000566758,0.7547021241711168,0.018023683855446247,health center,0.3776689423773864,0.00643856014905635,2013,6,Senegal
ALL,ALL,0.6416496144175214,0.019200108259268725,0.6352272552649206,0.028408786780075877,hospital,0.39548283545451485,0.009368859500499071,2013,6,Senegal
ALL,bakel,0.6521082706136119,0.030417436595620555,0.7448742704547109,0.05438469278874559,ALL,0.4360951280912229,0.03015358638257097,2013,6,Senegal
ALL,bambey,0.732472612626978,0.018244861497149566,0.8390138007796109,0.018144559656554107,ALL,0.37951301922574543,0.026976997098870262,2013,6,Senegal
ALL,bignona,0.7098809360803222,0.015425026156052228,0.8546162393593779,0.020975861803743865,ALL,0.34259389904825766,0.01944647151153046,2013,6,Senegal
ALL,birkelane,0.7455362702864993,0.021469314020783562,0.896222922413437,0.025007731406997327,ALL,0.49284679693204453,0.02174887900218707,2013,6,Senegal
ALL,bounkiling,0.6622032882242026,0.02220857710293264,0.7686042659719787,0.03545766041644479,ALL,0.32760582333026655,0.018066812946588733,2013,6,Senegal
ALL,dagana,0.7195900634628152,0.018790150088024513,0.8688836268378232,0.016254913169253538,ALL,0.38479449181820685,0.027221696863319194,2013,6,Senegal
ALL,dakar,0.5290619773905129,0.016055141758072072,0.5485826914490208,0.026297014497632176,ALL,0.37741584143844686,0.01302606440530608,2013,6,Senegal
ALL,diourbel,0.709307550620182,0.023034218940304312,0.8501566682973327,0.03589411551854031,ALL,0.41770637483765877,0.02446804616913544,2013,6,Senegal
ALL,fatick,0.6979618668646033,0.013225617577625503,0.8111316218618955,0.023725814277820785,ALL,0.357817115383404,0.015150573178693647,2013,6,Senegal
ALL,foundiougne,0.6794366302569299,0.025044812202725246,0.7451789525358937,0.04033917435924057,ALL,0.3113745859182842,0.012952133733957549,2013,6,Senegal
ALL,gossas,0.659076623994656,0.025581982913317522,0.788759585692733,0.046213595135057864,ALL,0.3102934836749576,0.02459447503954689,2013,6,Senegal
ALL,goudiry,0.653119952458533,0.03479033994832798,0.7904029865860277,0.04414592705472,ALL,0.31417796578448337,0.022980863693937977,2013,6,Senegal
ALL,goudomp,0.726810361201949,0.015848872528728804,0.8641832613034665,0.02033622385580627,ALL,0.3865613386676286,0.01611419052769231,2013,6,Senegal
ALL,guediawaye,0.6195020391651955,0.04637622165988497,0.6184823979151789,0.07166827733431834,ALL,0.3955617163681042,0.022139729545487707,2013,6,Senegal
ALL,guinguineo,0.6898490523865777,0.023645595784371868,0.821262765747279,0.03703913893654692,ALL,0.26950382108563203,0.029302796361299215,2013,6,Senegal
ALL,kaffrine,0.7449498864133954,0.020767769134093506,0.8826840987591997,0.026169067536376656,ALL,0.4388769500345948,0.02696930427571262,2013,6,Senegal
ALL,kanel,0.6639649802799801,0.02616457468005161,0.7777970836251756,0.045458435960451314,ALL,0.37513463676128783,0.02188899177160503,2013,6,Senegal
ALL,kaolack,0.6581399589170992,0.030163177870125183,0.7360334977773383,0.04502138841006637,ALL,0.3997287620666871,0.017659525443444807,2013,6,Senegal
ALL,kebemer,0.7503254831975877,0.02227692601319721,0.8784888537028226,0.023668740634020663,ALL,0.387825586400839,0.027489340386804128,2013,6,Senegal
ALL,kedougou,0.656467543298455,0.037253275683959405,0.7410731489113777,0.04443298645017883,ALL,0.4654325101549013,0.019650843646611908,2013,6,Senegal
ALL,kolda,0.6127406578399228,0.043734993573395664,0.6726625928240744,0.06784637655734914,ALL,0.3755626933916463,0.020846522550961862,2013,6,Senegal
ALL,koumpentoum,0.6549539756907506,0.06363157089838518,0.8396729771724372,0.06344763475913208,ALL,0.4854648679862967,0.03442175058032853,2013,6,Senegal
ALL,koungheul,0.724408150569481,0.025105682340136444,0.8843090563413964,0.02599523494179674,ALL,0.3932907900872346,0.03029946200398086,2013,6,Senegal
ALL,linguere,0.7178653045447312,0.017416716208128947,0.8362032188557053,0.024747595684735092,ALL,0.3036740508087628,0.024263896742538198,2013,6,Senegal
ALL,louga,0.6697484423819192,0.019776918612822478,0.7774281367868461,0.03142905081425955,ALL,0.31485804006567314,0.017388567382101157,2013,6,Senegal
ALL,malem hodar,0.7083501085612768,0.016646720884605237,0.8019537256752072,0.041298122141684664,ALL,0.4487349816810648,0.02933174235631201,2013,6,Senegal
ALL,matam,0.7126171433895883,0.022071956945629963,0.7969548999324165,0.029459254281286967,ALL,0.38331168804846294,0.02169791668074747,2013,6,Senegal
ALL,mbacke,0.7592496218990679,0.020865672799690906,0.8505813692111779,0.02768646563363057,ALL,0.4442349010185847,0.020714968482074658,2013,6,Senegal
ALL,mbour,0.7158840544002905,0.01854271697544883,0.7831610486875888,0.02608168474324965,ALL,0.4578540835604328,0.01683243513250251,2013,6,Senegal
ALL,medina yoroufoula,0.6965708504647719,0.052558227663992395,0.7750231926815142,0.0834079577499132,ALL,0.3972606157094521,0.026593996795252817,2013,6,Senegal
ALL,nioro du rip,0.7308617843569123,0.03016439024987593,0.8487418848999558,0.039082990180046205,ALL,0.4566370748398243,0.038872836031153914,2013,6,Senegal
ALL,oussouye,0.6764172338441758,0.028001016470998567,0.7994729299934937,0.045962957298531816,ALL,0.34363376806705154,0.02601989546893848,2013,6,Senegal
ALL,pikine,0.6228941281606168,0.025327287634713216,0.6933950051647519,0.03261385126468121,ALL,0.3265105780129004,0.011911667405016904,2013,6,Senegal
ALL,podor,0.7571268602587472,0.013982142969340665,0.8837962303259997,0.021875627702192427,ALL,0.4359195551327967,0.029349986527216185,2013,6,Senegal
