mga,department,child_readiness.basic,se.child_readiness.basic,sara_index,se.sara_index,child_readiness,se.child_readiness,quality.basic,se.quality.basic,main_symptom,se.main_symptom,assess.adeq,se.assess.adeq,fifteen.assess,se.fifteen.assess,int_cov,se.int_cov,three_danger_signs,se.three_danger_signs,year,recode,country
ALL,ALL,0.8180313885761469,0.01583331626525885,0.702765550211488,0.006564610889598242,0.7712668418242303,0.010302924269033387,0.5712221789176128,0.009672495418876374,0.2052798368328616,0.012916521999903827,0.09856354270587701,0.010254285000185806,0.34454111632652584,0.00475356199372954,0.4019250304414796,0.029950756889441474,0.011446021652975497,0.004497272084971687,2017,7,Senegal
private,ALL,0.472471502947972,0.06008959026187429,0.4958399075699361,0.023647736406035135,0.5203890505242426,0.04022499885767197,0.5161117572012054,0.04094636130589622,0.17368797385938978,0.05552841017893629,0.12614844330771957,0.053786375618567896,0.34786153876378545,0.029787751325475745,0.23453607595648804,0.12523868013801134,0.029734573164427527,0.029735263740169313,2017,7,Senegal
public,ALL,0.886655207565797,0.010445087318377603,0.765155432309266,0.004692812129775131,0.8210879954207978,0.005788550084243161,0.577807784766763,0.009659278002976043,0.20905501312627214,0.012847410355250388,0.09526719190517847,0.00951185808704688,0.3441443312404499,0.003955885009564237,0.4156289836963767,0.03058958597331191,0.009260569463440978,0.0035668660900742867,2017,7,Senegal
ALL,bakel,0.9296349738384497,0.04718900312234571,0.7338163131107724,0.01762013637073608,0.824387614907468,0.02766975587865876,0.5547832557561369,0.11964708446356769,0.22376682182105961,0.14131099003866812,0.22376682182105961,0.14131099003866812,0.27468987636083053,0.06881083045907914,0.34038201808891383,0.2779693925533624,0,0,2017,7,Senegal
ALL,bambey,0.9333333333333333,0.06126243889817878,0.8740740740740741,0.01735435396622774,0.8500000000000001,0.01531560972454468,0.5079365079365079,0.0429607835749825,0,0,0.047619047619047616,0.04675054225464911,0.31350078492935635,0.017601501319142978,0,0,0,0,2017,7,Senegal
ALL,bignona,0.9730848857155184,0.026452376287165832,0.7800782137599004,0.017504211773412052,0.8467908904755742,0.021468317329791587,0.5798097819138823,0.04294408570017182,0.13815137437377165,0.06447490958199624,0.03453784359344291,0.03426235835880169,0.32558416789911826,0.014527003127930514,0.6609541666477536,0.1435206309486264,0,0,2017,7,Senegal
ALL,birkelane,0.8333333333333333,0.1217161238900369,0.7222222222222221,0.06762006882779827,0.7916666666666667,0.09128709291752764,0.38888888888888895,0.12311906215024171,0.16666666666666666,0.15336722393113886,0.16666666666666666,0.15336722393113886,0.367032967032967,0.09401375947881946,0.25,0.21824538571776672,0.16666666666666666,0.15336722393113886,2017,7,Senegal
ALL,bounkiling,0.7045855421629535,0.06636720591493837,0.8467568050041259,0.012523000676764725,0.8428130522074052,0.016591801478734586,0.2976190476190477,0.049002682052095944,0.03571428571428571,0.03534797566467098,0,0,0.2244505494505495,0.015389814313542945,0.5,0.17817416127494962,0,0,2017,7,Senegal
ALL,dagana,0.8560157828395559,0.07005962378473823,0.6666666666666666,0.01685305348738177,0.7694773200833669,0.03344273797845586,0.6665581145375323,0.05691333011984969,0.29990230308377896,0.1023480851498964,0.04998371718062983,0.049017293116133384,0.342417064491823,0.021742678547030252,0.32272298802259874,0.14305616398975024,0,0,2017,7,Senegal
ALL,dakar,0.42335099506644147,0.08410524113916236,0.4647130514603479,0.04112818790963405,0.512540313766285,0.06214210132556809,0.6794667258531193,0.05060236189002317,0.3785314115968981,0.08926898599750419,0.1308077925206276,0.05560363408493553,0.40505158543348374,0.017945751074512042,0.5015926766522553,0.15248621515379288,0,0,2017,7,Senegal
ALL,diourbel,0.7241640807973686,0.09569665237560132,0.8255375413928498,0.012900766511197237,0.794579521480792,0.023042309500441546,0.5177582280277486,0.04276484711289503,0.06368061604129417,0.043402574477123056,0.04722824361632997,0.0347508723751032,0.3157167984609864,0.01623929968060698,0.2615629394688247,0.14704159197953692,0,0,2017,7,Senegal
