mga,department,sara_index,se.sara_index,child_readiness,se.child_readiness,factype,fifteen.assess,se.fifteen.assess,year,recode,country
ALL,ALL,0.6921914054442659,0.004434911576292905,0.7675381621128873,0.0066089305871338405,ALL,0.4394256000148716,0.009793999460102759,2015,6,Senegal
private,ALL,0.5737826604219938,0.015216308262514681,0.60230029696682,0.025557536908920594,ALL,0.41129695244769277,0.009793999460102759,2015,6,Senegal
public,ALL,0.7223547985924829,0.003984197482834129,0.8025010773579722,0.005675091709309117,ALL,0.4446192258051457,0.00407876438978425,2015,6,Senegal
ALL,ALL,0.6899664443574656,0.004864134848236708,0.7750583867783434,0.007314522928499994,clinic,0.43919762294160475,0.004317978687819398,2015,6,Senegal
ALL,ALL,0.7357889419330756,0.012238503877012306,0.7677457866516153,0.01358531754251375,health center,0.4372902658348995,0.008104164494566347,2015,6,Senegal
ALL,ALL,0.6585998762768027,0.017565413923301566,0.6081969530615571,0.02418333257894724,hospital,0.4489269667123891,0.012927283981202464,2015,6,Senegal
ALL,bakel,0.716302091700252,0.025989906422021126,0.8430792814075029,0.039352296257159886,ALL,0.49529181750203605,0.030322426397341902,2015,6,Senegal
ALL,bambey,0.732673158164427,0.026273753393178584,0.8003460753323851,0.034848153195805726,ALL,0.2815988427543122,0.0216025592137038,2015,6,Senegal
ALL,bignona,0.7591303795371172,0.017872687765780694,0.8468099596923769,0.022446880996444506,ALL,0.46960613965845044,0.018987394186721483,2015,6,Senegal
ALL,birkelane,0.6757571834562295,0.019117175537869596,0.821894496716346,0.025423777704591394,ALL,0.3873232307365395,0.029085504101795365,2015,6,Senegal
ALL,bounkiling,0.7200199642569062,0.015964411725623615,0.8104762836520626,0.03031005553440484,ALL,0.5262828669499872,0.019579374804683906,2015,6,Senegal
ALL,dagana,0.7007873639291284,0.025807595913200494,0.8352150477877238,0.0487089444687216,ALL,0.427421478218848,0.03156891342126172,2015,6,Senegal
ALL,dakar,0.5891409130730878,0.019312834375997057,0.6210614027215823,0.028120211161191514,ALL,0.4077212967854107,0.011987490110111802,2015,6,Senegal
ALL,diourbel,0.6252724227676787,0.041779200493241804,0.6516929406688978,0.07015297478801001,ALL,0.3527636547433013,0.024905932780428842,2015,6,Senegal
ALL,fatick,0.7656644701618843,0.024066110922521103,0.842212451007899,0.02507877079684761,ALL,0.5923776861762818,0.016653348735824608,2015,6,Senegal
ALL,foundiougne,0.7515222586689619,0.023121403112158673,0.8384000622326936,0.02811897079379966,ALL,0.539546481897638,0.01712762530778769,2015,6,Senegal
ALL,gossas,0.7142221892494618,0.03929934348542618,0.7536181976733588,0.03949968911478524,ALL,0.44203429157099927,0.028317198931430258,2015,6,Senegal
ALL,goudiry,0.7313306917299699,0.030356484453865445,0.888661636807452,0.025810149100010553,ALL,0.5165818729788701,0.030117762594692003,2015,6,Senegal
ALL,goudomp,0.7484398368868329,0.04400873529261497,0.8464223208387444,0.0379765988362744,ALL,0.5189837329591963,0.018515868000753853,2015,6,Senegal
ALL,guediawaye,0.7145603122217209,0.0521407782280044,0.7785558169877221,0.03708724285708774,ALL,0.5107799154826974,0.027165806526771887,2015,6,Senegal
ALL,guinguineo,0.6706656725572808,0.027219232696880095,0.6802440541297671,0.043238210601916634,ALL,0.4029952637216222,0.04463223208526458,2015,6,Senegal
ALL,kaffrine,0.7112913615629491,0.01807795471290828,0.8089756054209063,0.030465377325304452,ALL,0.39862520129604706,0.022592790759913637,2015,6,Senegal
ALL,kanel,0.6982332436489022,0.02687943457853036,0.7841713767923919,0.04744083091919824,ALL,0.29673917381638926,0.016204730975306666,2015,6,Senegal
ALL,kaolack,0.6339013470536687,0.01900269339818743,0.6939941463118711,0.03424482492766615,ALL,0.3964172284740838,0.015967925266212477,2015,6,Senegal
ALL,kebemer,0.7777169921613519,0.0267017875142821,0.8445600037803339,0.02806891983676872,ALL,0.4742704594221401,0.02709322183646141,2015,6,Senegal
ALL,kedougou,0.71118537814484994,0.02180587309892726,0.8383004755174828,0.026234520817335013,ALL,0.34697865547149703,0.02563241888990845,2015,6,Senegal
ALL,kolda,0.6445036995199624,0.03820033060191748,0.7185810042211138,0.05168925007020373,ALL,0.38317632868215545,0.018184346357960308,2015,6,Senegal
ALL,koumpentoum,0.7218422171511238,0.02905727201375177,0.7941841814824379,0.047605560032273994,ALL,0.45687805877111165,0.032406987963374746,2015,6,Senegal
ALL,koungheul,0.6889297452698508,0.026021522761531884,0.7832145830070569,0.031109980694738047,ALL,0.3697507066155892,0.021698018781427263,2015,6,Senegal
ALL,linguere,0.810800547514688,0.018522057677646784,0.8785986612875215,0.027761319904126544,ALL,0.553447375331806,0.048288046773454094,2015,6,Senegal
ALL,louga,0.7349941618784063,0.017755391108813207,0.8219967368483803,0.02752024141195057,ALL,0.4977759429531657,0.023338770749950194,2015,6,Senegal
ALL,malem hodar,0.6806457977348964,0.03361715326004085,0.756310351089553,0.04434730531679252,ALL,0.3817957943082356,0.02467381666126042,2015,6,Senegal
ALL,matam,0.7242057794669594,0.019443711882186934,0.8171694578543507,0.031457215954902425,ALL,0.3459587907544986,0.01499010489120793,2015,6,Senegal
ALL,mbacke,0.7050941277385578,0.01683548969687832,0.7814792124231218,0.028456905566111114,ALL,0.37918394949513956,0.013072642317049875,2015,6,Senegal
ALL,mbour,0.6762363299780663,0.024724003724199188,0.7208874376964324,0.043453969885537486,ALL,0.35213151918714036,0.018736704305067502,2015,6,Senegal
ALL,medina yoroufoula,0.6647884088613637,0.03183271605861587,0.6593637696571706,0.09437756012126115,ALL,0.4069763554191085,0.029662587969982505,2015,6,Senegal
ALL,nioro du rip,0.6865919139792089,0.020860984259858793,0.7590941621840968,0.04381265743554188,ALL,0.4443431056533091,0.035012194363473186,2015,6,Senegal
ALL,oussouye,0.7658375519886449,0.02013468739146718,0.8463500158288417,0.03677974649430651,ALL,0.5647708298171251,0.024886516257425682,2015,6,Senegal
ALL,pikine,0.6896727718721551,0.024363081150186386,0.7521279560549224,0.03120900454970561,ALL,0.5359983023486427,0.016773401519657855,2015,6,Senegal
ALL,podor,0.7058117914242628,0.014594391268327959,0.831665882166505,0.02212005460972539,ALL,0.34363388883714513,0.01632772737031922,2015,6,Senegal
