mga,department,readiness,se.readiness,factype,process_quality,se.process_quality,year,recode,country,logit_readiness,var_logit_readiness,logit_process_quality,var_logit_process_quality
ALL,ALL,0.669100523,0.004350737,ALL,0.384652061,0.008959569,2013,6,Senegal,0.704119673,3.86E-04,-0.469848675,0.001432836
private,ALL,0.567209919,0.014829681,ALL,0.367230751,0.008959569,2013,6,Senegal,0.270476654,0.003649399,-0.544115418,0.001486639
public,ALL,0.691336945,0.004186993,ALL,0.388245052,0.003612811,2013,6,Senegal,0.806377081,3.85E-04,-0.454695072,2.31E-04
ALL,ALL,0.666471599,0.004715645,clinic,0.384843101,0.003937818,2013,6,Senegal,0.692269506,4.50E-04,-0.469041634,2.77E-04
ALL,ALL,0.712144483,0.013755397,health center,0.377668942,0.00643856,2013,6,Senegal,0.905822138,0.004502575,-0.4994542,7.50E-04
ALL,ALL,0.641649614,0.019200108,hospital,0.395482835,0.00936886,2013,6,Senegal,0.582531144,0.006972616,-0.424322678,0.001535681
ALL,bakel,0.652108271,0.030417437,ALL,0.436095128,0.030153586,2013,6,Senegal,0.628319298,0.017977016,-0.257025167,0.015035012
ALL,bambey,0.732472613,0.018244861,ALL,0.379513019,0.026976997,2013,6,Senegal,1.007204007,0.008668857,-0.49161572,0.013124069
ALL,bignona,0.709880936,0.015425026,ALL,0.342593899,0.019446472,2013,6,Senegal,0.894805856,0.005609553,-0.651756164,0.007455125
ALL,birkelane,0.74553627,0.021469314,ALL,0.492846797,0.021748879,2013,6,Senegal,1.074945475,0.012806988,-0.028614765,0.007571319
ALL,bounkiling,0.662203288,0.022208577,ALL,0.327605823,0.018066813,2013,6,Senegal,0.673128321,0.009857073,-0.719033613,0.006726854
ALL,dagana,0.719590063,0.01879015,ALL,0.384794492,0.027221697,2013,6,Senegal,0.942429102,0.008671683,-0.469246967,0.013223069
ALL,dakar,0.529061977,0.016055142,ALL,0.377415841,0.013026064,2013,6,Senegal,0.116379086,0.00415229,-0.500531206,0.003073195
ALL,diourbel,0.709307551,0.023034219,ALL,0.417706375,0.024468046,2013,6,Senegal,0.89202338,0.012479877,-0.332196098,0.010119809
ALL,fatick,0.697961867,0.013225618,ALL,0.357817115,0.015150573,2013,6,Senegal,0.837611191,0.003935908,-0.584851125,0.004347288
ALL,foundiougne,0.67943663,0.025044812,ALL,0.311374586,0.012952134,2013,6,Senegal,0.751183992,0.013222387,-0.793700813,0.003648801
ALL,gossas,0.659076624,0.025581983,ALL,0.310293484,0.024594475,2013,6,Senegal,0.659182053,0.012962329,-0.798747597,0.013206908
ALL,goudiry,0.653119952,0.03479034,ALL,0.314177966,0.022980864,2013,6,Senegal,0.632781771,0.023581575,-0.780658573,0.011375183
ALL,goudomp,0.726810361,0.015848873,ALL,0.386561339,0.016114191,2013,6,Senegal,0.978499391,0.006371271,-0.461789719,0.004617829
ALL,guediawaye,0.619502039,0.046376222,ALL,0.395561716,0.02213973,2013,6,Senegal,0.487435175,0.038707986,-0.423992748,0.008574567
ALL,guinguineo,0.689849052,0.023645596,ALL,0.269503821,0.029302796,2013,6,Senegal,0.799413702,0.012213669,-0.997141432,0.022154012
ALL,kaffrine,0.744949886,0.020767769,ALL,0.43887695,0.026969304,2013,6,Senegal,1.0718569,0.011947431,-0.245721144,0.011993273
ALL,kanel,0.66396498,0.026164575,ALL,0.375134637,0.021888992,2013,6,Senegal,0.681014028,0.013752065,-0.510251215,0.008719755
ALL,kaolack,0.658139959,0.030163178,ALL,0.399728762,0.017659525,2013,6,Senegal,0.655016196,0.017973017,-0.406595394,0.005416668
